Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $315.32/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x049718900347c744ec75fa912da293ce61eae8e946f5329d1e29511be67ad612,28502362,1684966562,5/24/2023 22:16,0xced829eb145a746e536608a1a20b7675382a0fc6,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022157,0.069865452,305.91,,,Approve
0xd68eea26b649e5d09d1cf10cd035a196e95865c2c0b39319831dd7e08307c22f,28502417,1684966727,5/24/2023 22:18,0xbe4da6187ed21aed85af2654c628a63c57390b3e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132834,0.041885217,305.91,,,Approve
0x8406248d0de96bb4741ac32aa2babbae5e31008bf5847ae40da7b4a6a4c8b0f1,28502490,1684966946,5/24/2023 22:22,0x766a1632f7a4bae4b34891dee3eca97f2696b6fe,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x0fe4be2a67db7c8ed126f71923db1b16fa2762003597ee8e03072aee8837d4f0,28502511,1684967009,5/24/2023 22:23,0xda5f96ca563790498649706c495511171fcdf07b,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132654,0.041828459,305.91,,,Approve
0xa90efaa470684c9320231fe7c75710dfcfcb6133930618b48da023f6d8eb64fa,28502527,1684967057,5/24/2023 22:24,0x766a1632f7a4bae4b34891dee3eca97f2696b6fe,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x6eac63455618a104cd9a7ade0825acb91d681b522378654765f6bd95a2d26920,28502545,1684967111,5/24/2023 22:25,0x0ec033072c84c3d112b789f27859e0f40a2b6d86,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x98786ebc4222bdbeed501de6917ef83d13b12d02276876b6d75edf81ba97be0a,28502617,1684967327,5/24/2023 22:28,0x32ce30506afcd5baa2c75a8e5fae49defc399a08,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000176536,0.055665332,305.91,,,Approve
0x58d18a3f9ae69e86ba761540d12a928fd3200577d99b937f8d863d53c56c10da,28502867,1684968081,5/24/2023 22:41,0x0ec033072c84c3d112b789f27859e0f40a2b6d86,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x9fba8a5a8b05b7dab7978a8594b41599feb76065de6de52437760d7c97eabf0d,28502890,1684968150,5/24/2023 22:42,0x0b10f017b44ffb37d0493d4e926aad6993061d25,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132402,0.041748999,305.91,,,Approve
0xf3ab96a4d2960960c1bb93603a6d4a94c619d8a1e0816362bbe811af66d83ec2,28502914,1684968222,5/24/2023 22:43,0x0ec033072c84c3d112b789f27859e0f40a2b6d86,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000043683,0.013774124,305.91,,,Approve
